"player_id";"pa_yds";"pa_tds";"pa_int";"ru_yds";"ru_tds";"receptions";"rec_yds";"rec_tds";"ret_tds";"two_pt_conv";"fum_lost"
1;0;0;0;183;1;5;58;0;0;0;0
2;0;0;0;3;0;96;1450;13;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;31;401;3;0;0;0
5;0;0;0;0;0;80;1027;12;0;0;1
6;0;0;0;0;0;54;807;4;0;0;0
7;0;0;0;758;3;20;188;2;0;0;2
8;0;0;0;1066;6;41;232;0;0;0;1
9;0;0;0;0;0;77;1104;7;0;0;1
10;4671;35;11;24;1;0;0;0;0;0;2
11;0;0;0;0;0;80;1400;14;0;0;0
12;0;0;0;266;1;21;164;0;0;0;1
13;0;0;0;601;2;43;392;3;0;0;3
14;0;0;0;989;6;16;99;1;0;0;2
15;0;0;0;740;2;36;279;1;0;0;0
