"player_id";"position";"first_name";"last_name";"nfl_team";"fantasy_team"
1;"RB";"Cameron";"Artis-Payne";"Carolina Panthers";"Free Agent"
2;"WR";"Odell";"Beckham Jr.";"New York Giants";"Free Agent"
3;"WR";"Kelvin";"Benjamin";"Carolina Panthers";"Free Agent"
4;"WR";"Dez";"Bryant";"Dallas Cowboys";"Free Agent"
5;"WR";"Eric";"Decker";"New York Jets";"Free Agent"
6;"WR";"Alshon";"Jeffrey";"Chicago Bears";"Free Agent"
7;"RB";"Eddie";"Lacy";"Green Bay Packers";"Free Agent"
8;"RB";"Latavius";"Murray";"Oakland Raiders";"Free Agent"
9;"TE";"Greg";"Olsen";"Carolina Panthers";"Free Agent"
10;"QB";"Carson";"Palmer";"Arizona Cardinals";"Free Agent"
11;"WR";"Allen";"Robinson";"Jacksonville Jaguars";"Free Agent"
12;"RB";"Denard";"Robinson";"Jacksonville Jaguars";"Free Agent"
13;"RB";"James";"Starks";"Green Bay Packers";"Free Agent"
14;"RB";"Jonathan";"Stewart";"Carolina Panthers";"Free Agent"
15;"RB";"TJ";"Yeldon";"Jacksonville Jaguars";"Free Agent"
